IB_ID,IB_DATE,IB_TIME,IB_PLATE,IB_TEMPERATURE
762,2007-11-18,03:05:00,ub,24
763,2007-11-18,04:05:00,ub,24
764,2007-11-18,05:05:00,ub,23.5
765,2007-11-18,06:05:00,ub,23.5
766,2007-11-18,07:05:00,ub,23.5
767,2007-11-18,08:05:00,ub,24.5
768,2007-11-18,09:05:00,ub,25.5
769,2007-11-18,10:05:00,ub,26
770,2007-11-18,11:05:00,ub,26.5
771,2007-11-18,12:05:00,ub,27
772,2007-11-18,13:05:00,ub,27.5
773,2007-11-18,14:05:00,ub,28
774,2007-11-18,15:05:00,ub,28
775,2007-11-18,16:05:00,ub,28
776,2007-11-18,17:05:00,ub,27.5
777,2007-11-18,18:05:00,ub,27
778,2007-11-18,19:05:00,ub,27
779,2007-11-18,20:05:00,ub,26.5
780,2007-11-18,21:05:00,ub,26
781,2007-11-18,22:05:00,ub,26
782,2007-11-18,23:05:00,ub,25.5
783,2007-11-19,00:05:00,ub,25
784,2007-11-19,01:05:00,ub,25
785,2007-11-19,02:05:00,ub,25
786,2007-11-19,03:05:00,ub,24.5
787,2007-11-19,04:05:00,ub,24.5
788,2007-11-19,05:05:00,ub,24
789,2007-11-19,06:05:00,ub,24
790,2007-11-19,07:05:00,ub,24
791,2007-11-19,08:05:00,ub,24.5
792,2007-11-19,09:05:00,ub,24.5
793,2007-11-19,10:05:00,ub,25
794,2007-11-19,11:05:00,ub,25.5
795,2007-11-19,12:05:00,ub,26
796,2007-11-19,13:05:00,ub,26.5
797,2007-11-19,14:05:00,ub,26.5
798,2007-11-19,15:05:00,ub,26.5
799,2007-11-19,16:05:00,ub,26.5
800,2007-11-19,17:05:00,ub,26.5
801,2007-11-19,18:05:00,ub,26
802,2007-11-19,19:05:00,ub,26
803,2007-11-19,20:05:00,ub,25.5
804,2007-11-19,21:05:00,ub,25.5
805,2007-11-19,22:05:00,ub,25.5
806,2007-11-19,23:05:00,ub,25
807,2007-11-20,00:05:00,ub,25
808,2007-11-20,01:05:00,ub,24.5
809,2007-11-20,02:05:00,ub,24.5
810,2007-11-20,03:05:00,ub,24.5
811,2007-11-20,04:05:00,ub,24
812,2007-11-20,05:05:00,ub,24
813,2007-11-20,06:05:00,ub,23.5
814,2007-11-20,07:05:00,ub,23.5
815,2007-11-20,08:05:00,ub,24.5
816,2007-11-20,09:05:00,ub,26
817,2007-11-20,10:05:00,ub,26
818,2007-11-20,11:05:00,ub,27
819,2007-11-20,12:05:00,ub,27
820,2007-11-20,13:05:00,ub,27.5
821,2007-11-20,14:05:00,ub,28
822,2007-11-20,15:05:00,ub,28
823,2007-11-20,16:05:00,ub,27.5
824,2007-11-20,17:05:00,ub,27
825,2007-11-20,18:05:00,ub,27
826,2007-11-20,19:05:00,ub,26.5
827,2007-11-20,20:05:00,ub,26
828,2007-11-20,21:05:00,ub,25.5
829,2007-11-20,22:05:00,ub,25.5
830,2007-11-20,23:05:00,ub,25
831,2007-11-21,00:05:00,ub,24.5
832,2007-11-21,01:05:00,ub,24.5
833,2007-11-21,02:05:00,ub,24
834,2007-11-21,03:05:00,ub,24
835,2007-11-21,04:05:00,ub,23.5
836,2007-11-21,05:05:00,ub,23.5
837,2007-11-21,06:05:00,ub,23
838,2007-11-21,07:05:00,ub,23
839,2007-11-21,08:05:00,ub,24
840,2007-11-21,09:05:00,ub,25.5
841,2007-11-21,10:05:00,ub,26
842,2007-11-21,11:05:00,ub,26.5
843,2007-11-21,12:05:00,ub,27
844,2007-11-21,13:05:00,ub,27.5
845,2007-11-21,14:05:00,ub,27.5
846,2007-11-21,15:05:00,ub,27.5
847,2007-11-21,16:05:00,ub,27.5
848,2007-11-21,17:05:00,ub,27
849,2007-11-21,18:05:00,ub,26.5
850,2007-11-21,19:05:00,ub,26
851,2007-11-21,20:05:00,ub,26
852,2007-11-21,21:05:00,ub,25
853,2007-11-21,22:05:00,ub,24.5
854,2007-11-21,23:05:00,ub,24
855,2007-11-22,00:05:00,ub,24
856,2007-11-22,01:05:00,ub,23.5
857,2007-11-22,02:05:00,ub,23.5
858,2007-11-22,03:05:00,ub,23.5
859,2007-11-22,04:05:00,ub,23
860,2007-11-22,05:05:00,ub,22.5
861,2007-11-22,06:05:00,ub,22
862,2007-11-22,07:05:00,ub,22
863,2007-11-22,08:05:00,ub,22
864,2007-11-22,09:05:00,ub,22.5
865,2007-11-22,10:05:00,ub,22.5
866,2007-11-22,11:05:00,ub,23
867,2007-11-22,12:05:00,ub,23
868,2007-11-22,13:05:00,ub,23.5
869,2007-11-22,14:05:00,ub,23.5
870,2007-11-22,15:05:00,ub,23.5
871,2007-11-22,16:05:00,ub,23.5
872,2007-11-22,17:05:00,ub,23.5
873,2007-11-22,18:05:00,ub,23.5
874,2007-11-22,19:05:00,ub,23.5
875,2007-11-22,20:05:00,ub,23
876,2007-11-22,21:05:00,ub,22.5
877,2007-11-22,22:05:00,ub,22.5
878,2007-11-22,23:05:00,ub,22.5
879,2007-11-23,00:05:00,ub,22
880,2007-11-23,01:05:00,ub,22
881,2007-11-23,02:05:00,ub,21.5
882,2007-11-23,03:05:00,ub,21.5
883,2007-11-23,04:05:00,ub,21.5
884,2007-11-23,05:05:00,ub,21
885,2007-11-23,06:05:00,ub,21
886,2007-11-23,07:05:00,ub,21
887,2007-11-23,08:05:00,ub,22
888,2007-11-23,09:05:00,ub,23.5
889,2007-11-23,10:05:00,ub,24
