PT_ID,PT_DATE,PT_TIME,PT_TAG,PT_PLATE,PT_ENCLOSURE,PT_TA,PT_TB,PT_IB_ID,PT_CT_ID
914,2007-11-08,17:19:36,662,bb,2,0,0,NULL,NULL
915,2007-11-08,17:19:46,662,bb,2,0,0,NULL,NULL
916,2007-11-08,17:19:56,662,bb,2,0,0,NULL,NULL
917,2007-11-08,17:20:06,662,bb,2,0,0,NULL,NULL
918,2007-11-08,17:52:42,662,bb,2,0,0,NULL,NULL
919,2007-11-08,17:52:52,662,bb,2,0,0,NULL,NULL
920,2007-11-08,17:53:02,662,bb,2,0,0,NULL,NULL
921,2007-11-08,17:55:19,662,bb,2,0,0,NULL,NULL
922,2007-11-08,17:55:29,662,bb,2,0,0,NULL,NULL
923,2007-11-08,17:55:39,662,bb,2,0,0,NULL,NULL
924,2007-11-08,17:55:52,662,bb,2,0,0,NULL,NULL
925,2007-11-08,17:56:02,662,bb,2,0,0,NULL,NULL
926,2007-11-08,17:56:13,662,bb,2,0,0,NULL,NULL
927,2007-11-08,18:00:14,662,bb,2,0,0,NULL,NULL
928,2007-11-08,18:00:25,662,bb,2,0,0,NULL,NULL
929,2007-11-08,18:00:35,662,bb,2,0,0,NULL,NULL
930,2007-11-08,18:00:46,662,bb,2,0,0,NULL,NULL
931,2007-11-08,18:00:56,662,bb,2,0,0,NULL,NULL
932,2007-11-08,18:01:10,662,bb,2,0,0,NULL,NULL
933,2007-11-08,18:01:18,662,bb,2,0,0,NULL,NULL
934,2007-11-08,18:04:39,662,bb,2,0,0,NULL,NULL
935,2007-11-08,18:05:19,662,bb,2,0,0,NULL,NULL
936,2007-11-08,18:08:08,662,bb,2,0,0,NULL,NULL
937,2007-11-08,18:08:37,662,bb,2,0,0,NULL,NULL
938,2007-11-08,18:08:47,662,bb,2,0,0,NULL,NULL
939,2007-11-08,18:10:34,662,bb,2,0,0,NULL,NULL
940,2007-11-08,18:10:38,662,bb,2,0,0,NULL,NULL
941,2007-11-08,18:12:41,662,bb,2,0,0,NULL,NULL
942,2007-11-08,18:12:51,662,bb,2,0,0,NULL,NULL
943,2007-11-08,18:13:01,662,bb,2,0,0,NULL,NULL
944,2007-11-08,18:13:11,662,bb,2,0,0,NULL,NULL
945,2007-11-08,18:13:21,662,bb,2,0,0,NULL,NULL
946,2007-11-08,18:13:31,662,bb,2,0,0,NULL,NULL
947,2007-11-08,18:16:30,662,bb,2,0,0,NULL,NULL
